exec_time;dim;type_of_elem;n_loops;sleep;triangle;num_of_cores
0.0188103914260864;1000;True;10;0.0;False;2
0.02617609500885;1000;True;10;0.5;False;2
0.0154545307159423;1000;True;1000;0.0;False;2
0.0203157663345336;1000;True;1000;0.5;False;2
0.0150189399719238;1000;False;10;0.0;False;2
0.0206457376480102;1000;False;10;0.5;False;2
0.015283465385437;1000;False;1000;0.0;False;2
0.0206547975540161;1000;False;1000;0.5;False;2
0.0152629613876342;1000;True;10;0.0;True;2
0.0210440158843994;1000;True;10;0.5;True;2
0.0155296325683593;1000;True;1000;0.0;True;2
0.0211362838745117;1000;True;1000;0.5;True;2
0.015639305114746;1000;False;10;0.0;True;2
0.0220634937286376;1000;False;10;0.5;True;2
0.0154249668121337;1000;False;1000;0.0;True;2
0.0199962854385375;1000;False;1000;0.5;True;2
0.2001639604568481;3000;True;10;0.0;False;2
0.2042161226272583;3000;True;10;0.5;False;2
0.1992437839508056;3000;True;1000;0.0;False;2
0.2055224180221557;3000;True;1000;0.5;False;2
0.2023446559906005;3000;False;10;0.0;False;2
0.2077255249023437;3000;False;10;0.5;False;2
0.2011288404464721;3000;False;1000;0.0;False;2
0.2066733837127685;3000;False;1000;0.5;False;2
0.1979546546936035;3000;True;10;0.0;True;2
0.2118791341781616;3000;True;10;0.5;True;2
0.1994713544845581;3000;True;1000;0.0;True;2
0.2104271650314331;3000;True;1000;0.5;True;2
0.1989158391952514;3000;False;10;0.0;True;2
0.2105413675308227;3000;False;10;0.5;True;2
0.1991844177246093;3000;False;1000;0.0;True;2
0.210513949394226;3000;False;1000;0.5;True;2
0.0085890293121337;1000;True;10;0.0;False;8
0.0157908201217651;1000;True;10;0.5;False;8
0.0079435110092163;1000;True;1000;0.0;False;8
0.0141979455947875;1000;True;1000;0.5;False;8
0.0080475807189941;1000;False;10;0.0;False;8
0.0158213376998901;1000;False;10;0.5;False;8
0.0081307888031005;1000;False;1000;0.0;False;8
0.0145375728607177;1000;False;1000;0.5;False;8
0.0081490278244018;1000;True;10;0.0;True;8
0.0153868198394775;1000;True;10;0.5;True;8
0.0080716609954833;1000;True;1000;0.0;True;8
0.0146465301513671;1000;True;1000;0.5;True;8
0.0080324411392211;1000;False;10;0.0;True;8
0.0144331455230712;1000;False;10;0.5;True;8
0.0080265998840332;1000;False;1000;0.0;True;8
0.014316439628601;1000;False;1000;0.5;True;8
0.0909228324890136;3000;True;10;0.0;False;8
0.0991958379745483;3000;True;10;0.5;False;8
0.0909156799316406;3000;True;1000;0.0;False;8
0.0997848510742187;3000;True;1000;0.5;False;8
0.0897647142410278;3000;False;10;0.0;False;8
0.1059029102325439;3000;False;10;0.5;False;8
0.0900996923446655;3000;False;1000;0.0;False;8
0.0999548435211181;3000;False;1000;0.5;False;8
0.0910893678665161;3000;True;10;0.0;True;8
0.1008667945861816;3000;True;10;0.5;True;8
0.0910863876342773;3000;True;1000;0.0;True;8
0.1013363599777221;3000;True;1000;0.5;True;8
0.0918195247650146;3000;False;10;0.0;True;8
0.10223388671875;3000;False;10;0.5;True;8
0.0923222303390502;3000;False;1000;0.0;True;8
0.1010538339614868;3000;False;1000;0.5;True;8
